Variable Names,English,Spanish,Portuguese (Brazilian),Vietnamese,French,Korean,Amharic,Burmese,Arabic,Mandarin Chinese
observe_child_meal_time,I would like to see your child during a meal time today.,Me gustaría ver a su hijo/a durante la comida de hoy.,Gostaria de ver a criança durante a refeição de hoje.,Tôi muốn gặp con quý vị trong giờ ăn hôm nay.,J'aimerais voir votre enfant à l'heure du repas aujourd'hui.,오늘 식사 시간에 아이를 보고 싶습니다.,ዛሬ በምግብ ሰዓት ልጅዎን ማየት እፈልጋለሁ።,ဒီနေ့ ထမင်းစားချိန်မှာ သင့်ကလေးနဲ့ တွေ့ချင်ပါတယ်။,أود أن أرى طفلك أثناء تناول وجبة الطعام اليوم.,我想在今天吃饭的时候看看您的孩子。
thank_you,Thank you.,Gracias.,Agradeço.,Cám ơn quý vị.,Merci.,감사합니다.,አመሰግናለሁ።,ကျေးဇူးတင်ပါသည်။,شكرًا لك.,谢谢。
hold_your_child,Would you like to hold your child?,¿Le gustaría sostener a su hijo/a?,Quer segurar a criança?,Quý vị có muốn bồng con mình không?,Voulez-vous tenir votre enfant?,아이를 안고 싶으세요?,ልጅዎን መያዝ ይፈልጋሉ?,သင့်ကလေးကို ပွေ့ချီလိုပါသလား။,هل ترغب في حمل طفلك؟,您要抱着您的孩子吗？
dont_get_child_out_of_bed,Please don't get your child out of bed without help.,Por favor no saque a su hijo/a de la cama sin ayuda.,Não retire a criança da cama se não tiver ajuda.,Vui lòng đừng đưa con quý vị ra khỏi giường mà không có sự giúp đỡ.,Ne sortez pas votre enfant du lit sans aide.,도움 없이는 아이를 침대에서 꺼내지 마세요.,እባክዎ ያለ እርዳታ ልጅዎን ከአልጋው ላይ አያንሱት።,အကူအညီမပါဘဲ သင့်ကလေးကို အိပ်ရာပေါ်ကနေ မချီထုတ်ပါနဲ့။,من فضلك لا تخرج طفلك من السرير دون مساعدة.,请不要在无协助的情况下让您的孩子下床。
help_get_child_out_of_bed,I will help get your child out of bed.,Voy a ayudarle a sacar a su hijo/a de la cama.,Vou ajudar a retirar a criança da cama.,Tôi sẽ giúp đưa con quý vị ra khỏi giường.,Je vais aider à sortir votre enfant du lit.,제가 아이가 침대 밖으로 나오게 돕겠습니다,ልጅዎን ከአልጋው እንዲያነሳው እረዳዋለሁ።,သင့်ကလေးကို အိပ်ယာထဲကထုတ်ဖို့ ကျွန်ုပ်ကူညီပါမယ်။,سوف أساعد في إخراج طفلك من السرير.,我会帮您的孩子下床。
need_to_rest,Do you need to rest?,¿Necesita descansar?,Precisa descansar?,Quý vị có cần nghỉ ngơi không?,Voulez-vous vous reposer?,휴식이 필요하십니까?,ዕረፍት ያስፈልግዎታል?,အနားယူရန် လိုအပ်ပါသလား။,هل تحتاج إلى الراحة؟,你需要休息吗？
need_the_nurse,Do you need the nurse?,¿Necesita a la enfermera?,Precisa da enfermagem?,Quý vị có cần y tá không?,Avez-vous besoin de l'infirmier ou infirmière?,간호사가 필요하십니까?,ነርሷን ይፈልጋሉ?,သူနာပြုလိုအပ်ပါသလား။,هل تحتاج الممرضة؟,你需要护士吗？
need_help,Do you need help?,¿Necesita ayuda?,Precisa de ajuda?,Quý vị có cần giúp đỡ không?,Avez-vous besoin d'aide?,도움이 필요하십니까?,እርዳታ ይፈልጋሉ?,အကူအညီလိုပါသလား။,هل تحتاج مساعدة؟,您需要帮助吗？
you_can_go_back_to_the_room,You can go back to the room.,Puede volver a la habitación anterior.,Pode voltar para o quarto.,Quý vị có thể trở lại phòng.,Vous pouvez retourner dans votre chambre.,병실로 돌아가셔도 됩니다.,ወደ ክፍሉ መመለስ ይችላሉ።,သင် အခန်းထဲပြန်သွားနိုင်ပါတယ်။,يمكنك العودة إلى الغرفة.,你可以回房间了。
your_childs_name_will_be_on_the_door,Your child's name will be on the door.,El nombre de su hijo o hija estará la puerta.,O nome da criança vai estar na porta.,Tên của con quý vị sẽ ở trên cửa.,Le nom de votre enfant sera sur la porte.,아이의 이름이 문에 적혀 있습니다.,የልጅዎ ስም በሩ ላይ ይሆናል።,သင့်ကလေး၏အမည်ကို တံခါးတွင် ရေးထားပါလိမ့်မယ်။,سيكون اسم طفلك على الباب.,门上会有您孩子的名字。
please_take_off_your_shoes_and_stand_on_the_scale,Please take off your shoes and stand on the scale.,Por favor quítese los zapatos y póngase en la escala.,Tire os sapatos e fique de pé na balança.,Vui lòng cởi giày và đứng lên chiếc cân.,Veuillez enlever vos chaussures et monter sur la balance.,신발을 벗고 저울 위에 서십시오.,እባክዎ ጫማዎን ያውልቁ እና በሚዛኑ ላይ ይቁሙ።,ဖိနပ်ကိုချွတ်ပြီး ကိုယ်အလေးချိန်စက်စကေးပေါ်မှာ မတ်တပ်ရပ်ပါ။,يُرجى خلع حذائك والوقوف على الميزان.,请脱鞋，站在秤上。
i_am_going_to_put_stickers_on_your_chest,I am going to put stickers on your chest.,Voy a ponerle pegatinas en el pecho.,Vou colocar adesivos no seu peito.,Tôi sẽ dán các miếng dán lên ngực quý vị.,Je vais mettre des autocollants sur votre poitrine.,가슴에 스티커를 붙이겠습니다.,ተለጣፊዎችን በደረትዎ ላይ አስቀምጣለሁ።,သင့်ရင်ဘတ်မှာ စတစ်ကာတွေ ကပ်ထားပါမယ်။,سأضع لاصقات على صدرك.,我会在你的胸前贴上贴片。
i_am_going_to_put_a_heart_monitor,I am going to put a heart monitor.,Voy a ponerle un medidor del corazón.,Vou colocar um monitor cardíaco.,Tôi sẽ đặt máy đo nhịp tim.,Je vais mettre en place un moniteur cardiaque.,심장 모니터를 놓겠습니다.,የልብ መቆጣጠሪያ አስቀምጣለሁ።,နှလုံးမော်နီတာ တပ်ပါမယ်။,سأضع مراقبة القلب.,我会放一个心脏监护仪。
please_take_off_your_shirt,Please take off your shirt.,Por favor quítese la camisa.,Tire sua camisa.,Vui lòng cởi áo ra.,S'il vous plaît enlevez votre chemise.,셔츠를 벗으십시오.,እባክዎን ሸሚዝዎን ያውልቁ።,ကျေးဇူးပြုပြီး အင်္ကျီချွတ်ပါ။,يُرجى خلع قميصك.,请脱掉您的上衣。
these_wires_are_going_to_hold_the_stickers,These wires are going to hold the stickers.,Estos cables van a sostener las pegatinas.,Os fios vão segurar os adesivos.,Những sợi dây này sẽ giữ các miếng dán.,Ces fils vont retenir les autocollants.,이 와이어가 스티커를 고정합니다.,እነዚህ ገመዶች ተለጣፊዎችን ይይዛሉ።,ဒီဝါယာကြိုးတွေက စတစ်ကာတွေကို ထိန်းထားပါမယ်။,سيتم توصيل هذه الأسلاك باللاصقات.,这些导线用于固定贴片。
nothing_will_hurt_today,Nothing will hurt today.,Nada dolerá hoy.,Não vai doer nada.,Sẽ không có gì gây đau cả.,Rien ne fera mal aujourd'hui.,오늘, 아프지 않을 것입니다.,ዛሬ ምንም አያምም።,ဒီနေ့ နာကျင်စရာ ဘာမှမလုပ်ပါဘူး။,لن يؤلمك شيء اليوم.,今天不会对您造成任何疼痛。
we_wont_do_shots_or_blood_work,We won't do shots or blood work.,No haremos inyecciones ni sacaremos sangre.,Não vamos dar vacina e nem fazer exame de sangue.,Chúng tôi sẽ không chích hoặc làm xét nghiệm máu.,Nous ne ferons pas de piqûres ni d'analyses de sang.,주사를 놓거나 혈액 체취는 하지 않을겁니다.,መርፌ የመውጋት ወይም የደም ምርመራ አንሰራም።,ဆေးထိုးတာ ဒါမှမဟုတ် သွေးနဲ့ပတ်သတ်တာ မလုပ်ပါဘူး။,لن نقوم بالحقن أو فحص الدم.,我们不会进行注射或血液检查。
this_doesnt_hurt_but_may_feel_cold,This doesn't hurt but may feel cold.,Esto no duele pero puede sentir frío.,Não dói mas pode ser geladinho.,Làm thế này không đau nhưng có thể cảm thấy lạnh.,Cela ne fait pas mal mais peut être froid.,이것은 아프지는 않지만 차갑게 느껴질 수 있습니다.,ይህ አያምም፣ ነገር ግን ቅዝቃዜ ሊሰማዎ ይችላል።,ဒါက မနာကျင်ပေမယ့် အေးနိုင်ပါတယ်။,هذا لا يؤلم، ولكن قد يُشعر ببعض البرد.,这不疼，但您可能会感觉凉凉的。
please_lay_on_your_left_side,Please lay on your left side.,Por favor acuéstese sobre su lado izquierdo.,Deite-se virando para o lado esquerdo.,Vui lòng nằm nghiêng về bên trái.,Veuillez-vous allonger sur le côté gauche.,왼쪽으로 누우십시오.,እባክዎ በግራ ጎንዎ ይተኙ።,ဘယ်ဘက်စောင်းအိပ်ပေးပါ။,يُرجى الاستلقاء على جانبك الأيسر.,请左侧卧。
please_fold_your_left_arm_so_your_head_lays_on_it,Please fold your left arm so your head lays on it.,Por favor doble su brazo izquierdo para reposar su cabeza.,Dobre o braço esquerdo deixando a cabeça sobre o braço.,Vui lòng gập cánh tay trái của quý vị để đầu quý vị tựa vào đó.,Veuillez plier votre bras gauche pour que votre tête repose dessus.,왼쪽 팔을 접고 그 위에 머리를 놓으십시오.,እባኮክዎ ግራ ክንድዎን በማጠፍ ጭንቅላትዎ እላዩ እንዲተኛ ያድርጉ።,ဘယ်ဘက်လက်မောင်းကို ကွေးထားပြီး အဲ့ဒီအပေါ် ခေါင်းတင်ပါ။,من فضلك قم بطي ذراعك اليسرى بحيث تضع رأسك عليها.,请弯曲您的左臂，将头靠在手臂上。
i_am_going_to_put_3_stickers_on_your_chest,I am going to put 3 stickers on your chest.,Voy a poner 3 pegatinas en su pecho.,Vou colocar três adesivos no seu peito.,Tôi sẽ dán 3 miếng dán lên ngực quý vị.,Je vais mettre 3 autocollants sur la poitrine.,가슴에 스티커 3개를 붙이겠습니다.,በደረትዎ ላይ 3 ተለጣፊዎችን ላስቀምጥ ነው።,သင့်ရင်ဘတ်မှာ စတစ်ကာ 3 ခု ကပ်ပါမယ်။,سأضع ثلاث لاصقات على صدرك.,我会在你的胸前贴上3个贴片。
i_am_going_to_connect_wires_to_the_stickers,I am going to connect wires to the stickers.,Voy a conectar cables a las pegatinas.,Vou conectar os fios aos adesivos.,Tôi sẽ kết nối dây với miếng dán.,Je vais connecter des fils aux autocollants.,스티커에 와이어를 연결하겠습니다.,ገመዶችን ከተለጣፊዎች ጋር ላገናኝ ነው።,စတစ်ကာတွေကို ဝါယာကြိုးတွေ တပ်ပါမယ်။,سأقوم بتوصيل الأسلاك باللاصقات.,我要将导线连接至贴片。
please_lay_down_on_the_table,Please lay down on the table.,Por favor túmbese en la mesa.,Deite-se na maca.,Vui lòng nằm xuống bàn.,Veuillez-vous allonger sur la table.,테이블 위에 누우십시오.,እባክዎ ጠረጴዛው ላይ ይተኙ።,ကျေးဇူးပြုပြီး စားပွဲပေါ်လှဲအိပ်ပါ။,يُرجى الاستلقاء على الطاولة.,请趴在桌子上。
