Variable Names,image,English Short Name,English,Spanish,Portuguese (Brazilian),Vietnamese,French,Korean,Amharic,Burmese,Arabic,Mandarin Chinese
checking_drain,n_checking_drain,Checking the drain,I am checking the drain.,Voy a chequear tu catéter urinario,Estou verificando o dreno,Tôi đang kiểm tra dây xả.,Je vérifie le drain.,배액을 확인하겠습니다.,የፈሳሽ ማፍሰሻውን እያጣራሁ ነው።,ဆီးထွက်တာကို စစ်ဆေးနေပါတယ်။,أنا أتحقق من التصريف.,我正在检查引流情况。
checking_IV,n_checking_iv,Checking IV,I am checking the IV.,Voy a chequear la via intravenosa,Estou verificando a via intravenosa,Tôi đang kiểm tra đường truyền tĩnh mạch (IV),Je vérifie la perfusion.,정맥주사(IV)를 확인하겠습니다.,IVውን እየፈተሽኩ ነው።,အကြောဆေး IV ကို စစ်ဆေးနေပါတယ်။,أنا أتحقق من القسطرة الوريدية.,我正在检查静脉注射管 (IV)。
checking_NG_tube,n_checking_NG_tube,Checking the NG tube,I am checking the NG tube.,Voy a chequear la sonda de alimentación nasogástrica,Estou verificando a sonda nasogástrica,Tôi đang kiểm tra ống cho thức ăn vào dạ dày luồn qua mũi (NG tube),Je vérifie le tube nasogastrique.,비위관(NG tube)을 확인하겠습니다.,የ NG ቱቦውን እየፈተሽኩ ነው።,နှာခေါင်းမှ အစာကျွေးသောပိုက်ပျော့ (NG tube)ကို စစ်ဆေးနေပါတယ်။,أنا أتحقق من أنبوب التغذية (الأنفي-المعدي),我正在检查 鼻胃管。
checking_temperature,n_checking_temperature,Checking temperature,I am checking patient’s temperature.,Voy a chequear la temperatura del paciente.,Estou verificando a temperatura do paciente,Tôi đang đo nhiệt độ của bệnh nhân.,Je vérifie la température du patient.,환자의 체온을 확인하겠습니다.,የታካሚውን የሙቀት መጠን እየፈተሽኩ ነው።,လူနာရဲ့ ကိုယ်ပူချိန်ကို စစ်ဆေးနေပါတယ်။,أنا أتحقق من درجة حرارة المريض.,我正在检查患者的体温。
checking_ventilator,n_checking_ventilator,Checking oxygen,I am going to check the oxygen.,Voy a chequear su oxígeno,Estou verificando o oxigênio,Tôi sắp sửa kiểm tra ô-xy.,Je vais vérifier l’oxygène.,산소를 확인하겠습니다.,ኦክስጅኑን ልፈትሽ ነው።,အောက်ဆီဂျင် စစ်ဆေးပါတော့မယ်။,سأفحص الأكسجين.,我将检查供氧情况。
cold_pack,n_cold_pack,Cold pack?,Do you want a cold pack?,¿Quiere una compresa fría?,Você quer uma compressa fria?,Quý vị có muốn túi chườm lạnh không?,Voulez-vous une compresse froide?,냉찜질팩을 원하십니까?,ቀዝቃዛ ጥቅል ይፈልጋሉ?,အအေးထုပ် (a cold pack) လိုချင်ပါသလား။,هل تريد كمادة باردة؟,您想要冰袋吗？
comfortable,n_comfortable,Are you comfortable?,Are you comfortable?,¿Está cómodo o cómoda?,Você está confortável?,Quý vị có thấy thoải mái không?,Êtes-vous confortable?,편안하십니까?,ምቾት ይሰማዎታል?,သက်တောင့်သက်သာ ရှိပါသလား။,هل أنت مرتاح؟,您感到舒服吗？
do_ekg,n_do_ekg,EKG,We are going to do an EKG to look at the rhythm of your heart,Vamos a realizar un electrocardiograma para observar el ritmo de su corazón,Vamos realizar um eletrocardiograma para observar o ritmo do seu coração,Chúng tôi sẽ làm điện tâm đồ để kiểm tra nhịp tim của quý vị.,Nous allons faire un ECG pour vérifier le rythme de votre cœur.,심장의 리듬을 살펴보기 위해 심전도(EKG) 검사를 하겠습니다.,የልብዎን ምት ለመመልከት EKG ልንሰራ ነው።,သင့် နှလုံးခုန်စည်းချက်ကို ကြည့်ဖို့ EKG လုပ်ပါမယ်။,سنُجري تخطيط كهربية القلب لنفحص إيقاع نبض قلبك.,我们将通过心电图 (EKG) 观察您的心律。
drawing_blood,n_drawing_blood,Drawing Blood,I am going to draw some blood.,Voy a sacar sangre.,Estou coletando sangue,Tôi sắp sửa lấy một ít máu.,Je vais prélever du sang.,약간의 혈액을 채취하겠습니다.,ትንሽ ደም ልቀዳ ነው።,သွေးနည်းနည်းထုတ်ယူပါမယ်။,سأسحب عينة من الدم.,我将抽取些许血液。
flushing_IV,n_flushing_iv,Flushing IV,I am flushing the IV.,Voy a lavar la vía intravenosa,Estou lavando a via intravenosa,Tôi đang xúc rửa đường truyền tĩnh mạch,Je nettoie la perfusion.,정맥주사(IV)를 세척하겠습니다.,IVው ውስጥ ያለውን ፈሳሽ እየለቀኩት ነው።,သွေးပြန်ကြော IV အတွင်း ဆေးသွင်းလိုက်တယ်။,أنا أُنظِف القسطرة الوريدية.,我正在冲洗静脉注射管。
gel_on_ankle,n_gel_on_ankle,Gel on ankle,We will use some jelly on your ankle to hear your heartbeat,Usaremos un poco de gel en su tobillo para escuchar su latido del corazón,Usaremos um pouco de gel no seu tornozelo para ouvir seu batimento cardíaco,Chúng tôi sẽ bôi một ít dung dịch dạng keo lên mắt cá chân của quý vị để nghe nhịp tim của quý vị.,Nous allons mettre un gel sur votre cheville pour pouvoir écouter votre rythme cardiaque.,심장박동을 듣기 위해 발목에 젤리를 바르겠습니다.,የልብ ምትዎን ለማዳመጥ በቁርጭምጭሚትዎ ላይ የተወሰነ ጄሊ እንጠቀማለን።,သင့်နှလုံးခုန်သံကိုကြားဖို့ ခြေကျင်းဝတ်မှာ ဂျဲလ်ဆီတစ်ချို့ လိမ်းပါမယ်။,سنضع بعض الهلام على كاحلك لسماع نبضات قلبك.,我们会在您的脚踝上使用一些胶状物来听您的心跳。
get_dressed,n_get_dressed,Time to get dressed,It is time to get dressed.,Es hora de vestirse,É hora de se vestir,Đã đến lúc cần phải mặc quần áo.,Il est l’heure de s’habiller.,옷을 입으실 시간입니다.,የመልበሻ ጊዜው አሁን ነው።,အဝတ်လဲဖို့ အချိန်ရောက်ပါပြီ။,حان وقت ارتداء الملابس.,现在是时候穿衣服了。
giving_a_rectal_enema,n_giving_a_rectal_enema,Giving a rectal enema,I am giving a rectal enema.,Voy a poner un tubo de enema en el recto,Estou aplicando um enema retal,Tôi đang cho dùng thuốc xổ trực tràng.,Je fais un lavement rectal.,직장 관장을 하겠습니다.,እኔ የፊንጢጣ እጥበት እየሰጠሁ ነው።,ဝမ်းချူဆေးရည်ထည့်ပေးနေပါတယ်။,أنا أُعطي حقنة شرجية في المستقيم.,我正在进行直肠灌肠。
giving_medicine,n_giving_medicine,Giving Medicine,I am going to give medicine.,Voy a dar medicamentos.,Estou administrando medicamentos,Tôi sắp sửa cho dùng thuốc.,Je vais donner des médicaments.,약을 투여하겠습니다.,መድኃኒት ልሰጥ ነው።,ဆေးပေးပါတော့မယ်။,سأعطي بعض الدواء.,我将给您开药。
go_for_a_walk,n_go_for_a_walk,Go for a walk,It is time to go for a walk.,Es hora de caminar,É hora de caminhar,Đã đến lúc đi dạo bộ.,Il est l’heure d’aller se promener.,산책을 하실 시간입니다.,የእግር ጉዞ የማድረግ ጊዜ ነው።,လမ်းလျှောက်ဖို့ အချိန်ရောက်ပါပြီ။,حان وقت الذهاب للتنزه.,现在是时候去散步了。
have_you_drunk,n_have_you_drunk,Have you drank?,Have you drank?,¿Ha bebido?,Você bebeu?,Quý vị đã uống chưa?,Avez-vous bu?,술을 드셨습니까?,ጠጥተዋል?,သောက်ပြီးပြီလား။,هل شربت؟,您是否已摄入过液体？
have_you_eaten,n_have_you_eaten,Have you eaten?,Have you eaten?,¿Ha comido?,Você comeu?,Quý vị đã ăn chưa?,Avez-vous mangé?,식사를 하셨습니까?,በልተዋል?,စားပြီးပြီလား။,هل أكلت؟,您是否已摄入过食物？
have_you_eaten,n_have_you_eaten,Have you eaten?,Have you eaten?,¿Ha comido?,Você comeu?,Quý vị đã ăn chưa?,Avez-vous mangé?,식사를 하셨습니까?,በልተዋል?,စားပြီးပြီလား။,هل أكلت؟,您是否已摄入过食物？
have_you_gone_to_bathroom,n_have_you_gone_to_bathroom,Gone to bathroom?,Have you gone to the bathroom?,¿Ha usado el lavabo?,Você foi ao banheiro?,Quý vị đã đi vệ sinh chưa?,Êtes-vous allé aux toilettes?,액체를 섭취하셨습니까?,ወደ መታጠቢያ ቤት ሄደዋል?,သန့်စင်ခန်း သွားပြီးပြီလား။,هل استخدمت الحمام؟,您是否已上过厕所？
heat_pack,n_heat_pack,Heat pack?,Do you want a heat pack?,¿Quiere una compresa caliente?,Você quer uma compressa quente?,Quý vị có muốn túi chườm nóng không?,Voulez-vous une compresse chaude?,온찜질팩을 원하십니까?,ሞቃት ጥቅል ይፈልጋሉ?,အပူထုပ် (a heat pack) လိုချင်ပါသလား။,هل تريد كمادة ساخنة؟,您想要热敷袋吗？
hurt_when_touched,n_hurt_when_touched,Does it hurt if touched?,Does it hurt if I touch here?,¿Le duele si le toco aquí?,Dói se eu tocar aqui?,Tôi chạm vào đây thì quý vị có đau không?,Est-ce que cela fait mal si je touche ici?,여기를 만지면 아프십니까?,እዚህ ጋር ብነካዎት ያምዎታል?,ဒီနေရာကိုထိရင် နာကျင်ပါသလား။,هل تشعر بألم إذا لمست هنا؟,我碰这里您会痛吗？
inserting_IV,n_inserting_IV,Inserting IV,I am inserting the IV.,Voy a poner la vía intravenosa,Estou inserindo a via intravenosa,Tôi đang đặt đường truyền tĩnh mạch (IV),Je place la perfusion.,정맥주사(IV)를 삽입하겠습니다.,IVውን እያስገባሁ ነው።,သွေးကြောထဲ ဆေးထိုးအပ် ထည့်နေပါပြီ။,أنا أُدخِل القسطرة الوريدية.,我正在插入静脉注射管。
last_time_breast_milk,n_last_time_breastmilk,Last time breast milk?,When was the last time the patient had breast milk?,¿Cuándo fue la última vez que el paciente tomó leche del pecho?,Quando foi a última vez que o paciente tomou leite materno?,Lần cuối cùng bệnh nhân uống sữa mẹ là khi nào?,Quand est-ce que le patient a pris du lait maternel pour la dernière fois ?,언제 환자가 마지막으로 모유를 먹었습니까?,ታካሚው የእናት ጡት ወተት ለመጨረሻ ጊዜ ያገኘው መቼ ነበር?,လူနာသည် နောက်ဆုံးဘယ်အချိန်က မိခင်နို့စို့ခဲ့သနည်း။,متى كانت آخر مرة تناول فيها المريض حليب الثدي؟,患者上一次喝母乳是什么时候？
last_time_clear_liquids,n_last_time_drank,Last time clear liquids?,When was the last time the patient had any clear liquids?,¿Cuándo fue la última vez que el paciente tomó líquidos transparentes?,Quando foi a última vez que o paciente tomou líquidos claros?,Lần cuối cùng bệnh nhân uống chất lỏng trong suốt là khi nào?,Quand est-ce que le patient a pris des liquides clairs pour la dernière fois ?,언제 환자가 마지막으로 투명한 액체를 드셨습니까?,ታካሚው ለመጨረሻ ጊዜ ንጹህ ፈሳሽ የነበረው መቼ ነበር?,လူနာသည် နောက်ဆုံးအကြိမ် ဘယ်အချိန်က အရည်အကြည်သောက်ခဲ့သနည်း။,متى كانت آخر مرة تناول فيها المريض سوائل صافية؟,患者上一次喝清淡的水或者饮料是什么时候？
last_time_solid_food,n_last_time_ate,Last time solid food?,When was the last time the patient had any solid food?,¿Cuándo fue la última vez que el paciente tomó comida sólida?,Quando foi a última vez que o paciente comeu comida sólida?,Lần cuối cùng bệnh nhân ăn thức ăn rắn là khi nào?,Quand est-ce que le patient a mangé des aliments solides pour la dernière fois ?,언제 환자가 마지막으로 딱딱한 음식이나 우유를 드셨습니까?,ታካሚው ደረቅ ምግብ ወይም ወተት ለመጨረሻ ጊዜ ያገኘው መቼ ነበር?,လူနာသည် နောက်ဆုံးဘယ်အချိန်က နို့ သို့မဟုတ် အစာအမာများ စားခဲ့သနည်း။,متى كانت آخر مرة تناول فيها المريض أي طعام صلب أو حليب؟,患者上一次摄入固体食物或牛奶是什么时候？
leg_bp,n_leg_bp,Checking BP on leg,We are going to take a blood pressure on your leg,Vamos a medir la presión sanguínea del paciente en su pierna,Vamos medir a pressão arterial na sua perna,Chúng tôi sẽ đo huyết áp ở chân của quý vị.,Nous allons prendre la tension artérielle sur votre jambe.,다리의 혈압을 재겠습니다.,እግርዎ ላይ ያለውን የደም ግፊት እንለካለን።,သင့်ခြေထောက်တွင် သွေးပေါင်ချိန်ပါမယ်။,سنقيس ضغط الدم من على ساقك.,我们要在您的腿部量血压。
level_of_pain,pain,Level of pain?,Can you indicate your level of pain?,¿Puede indicar su nivel de dolor?,Você pode indicar seu nível de dor?,Quý vị có thể cho biết mức độ đau của mình được không?,Pouvez-vous indiquer votre niveau de douleur?,아픈 수준을 표현하실 수 있습니까?,የህመምዎን ደረጃ ሊያመለክቱ ይችላሉ?,နာကျင်မှုအဆင့်ကို သင်ပြောပြနိုင်မလား။,هل يمكنك تحديد مستوى الألم لديك؟,您能说明您的疼痛程度吗？
listen_to_vitals,n_listen_to_vitals,Listening to breathing,I am listening to breathing.,Voy a escuchar su respiración,Estou escutando a respiração,Tôi đang lắng nghe hơi thở.,J'écoute la respiration.,아이를 도와 침대 밖으로 나오게 할 때는 이동보조 벨트를 사용하십시오.,ትንፋሽ እየሰማሁ ነው።,အသက်ရှုသံကို နားထောင်နေတယ်။,أنا أستمع إلى التنفس.,我正在听呼吸音。
medicine_will_make_you_sleep,n_medicine_to_sleep,Medicine to sleep,This medicine will make you sleep,Este medicamento le hará dormirse,Este medicamento vai fazer você dormir,Thuốc này sẽ làm bạn buồn ngủ,Ce médicament va vous faire dormir,이 약은 잠들게 해줍니다.,ይህ መድሃኒት እንቅልፍ እንዲተኙ ያደርግዎታል።,ဒီဆေးက သင့်ကို အိပ်ပျော်စေပါလိမ့်မယ်။,هذا الدواء سوف يجعلك تنام.,这种药会让您入睡。
mouthcare,n_mouthcare,Mouthcare,I am giving mouthcare.,Voy a tender cuidados de boca,Estou fazendo cuidados bucais,Tôi đang chăm sóc răng miệng.,Je donne des soins de bouche.,구강 관리를 하겠습니다.,የአፍ እንክብካቤ እየሰጠሁ ነው።,ပါးစပ်ဆေး လိမ်းပေးနေပါတယ်။,أنا أعتني بالفم.,我正在提供口腔护理。
NG_tube,n_NG_tube,Placing an NG tube,I am placing an NG tube.,Voy a poner una sonda de alimentación nasogástrica,Estou colocando uma sonda nasogástrica,Tôi đang đặt ống cho thức ăn vào dạ dày luồn qua mũi (NG tube),Je place un tube nasogastrique.,비위관(NG tube)을 넣겠습니다.,የ NG ቱቦ እያስቀመጥኩ ነው።,နှာခေါင်းမှ အစာကျွေးသောပိုက်ပျော့ (NG tube)ကို ထည့်နေပါတယ်။,أنا أُدخِل أنبوب تغذية (أنفي-معدي).,我正在放置鼻胃 (NG) 管。
placing_a_foley,n_placing_a_foley,Placing a foley,I am placing a foley.,Voy a poner un catéter urinario,Estou colocando um cateter urinário,Tôi đang đặt ống thông tiểu.,Je place une sonde Foley.,폴리를 넣겠습니다.,ፎሊ እያስቀመጥኩ ነው።,ဆီးပိုက် (foley) တပ်နေပါတယ်။,أنا أُدخِل قسطرة بولية.,我正在放置导尿管。
placing_a_ventilator,n_placing_a_ventilator,Giving oxygen,I am going to give oxygen,Voy a dar oxígeno,Estou fornecendo oxigênio,Tôi sắp sửa cho dùng ô-xy.,Je vais administrer de l’oxygène.,산소를 공급하겠습니다.,ኦክሲጅን ልሰጥ ነው።,အောက်စီဂျင် ပေးပါတော့မယ်။,سأُعطي أكسجين.,我将进行供氧。
playroom,n_playroom,Watch play,I would like to see how you/your child moves and plays,Me gustaría ver cómo usted/su hijo/a se mueve y juega,Gostaria de ver como você/seu filho se move e brinca,Tôi muốn xem quý vị/con quý vị di chuyển và chơi như thế nào.,J’aimerais voir comment vous/votre enfant bougez/bouge et jouez/joue.,귀하/귀하의 자녀가 어떻게 이동하고 움직이는지를 살펴보고 싶습니다.,እርስዎ/ልጅዎ እንዴት እንደሚንቀሳቀሱ እና እንደሚጫወቱ ማየት እፈልጋለሁ።,သင်၏/ သင့်ကလေး၏ လှုပ်ရှားကစားပုံတွေကို ကြည့်ချင်ပါတယ်။,أود أن أرى كيف تتحرك وتلعب/كيف يتحرك ويلعب طفلك.,我想看看您/您孩子的移动与玩耍情况。
question,n_question,Do you have any questions?,Do you have any questions?,¿Tiene alguna pregunta?,Você tem alguma pergunta?,Quý vị có điều gì thắc mắc không?,Avez-vous des questions?,질문이 있으십니까?,ማንኛውም ዓይነት ጥያቄዎች አልዎት?,သင့်တွင် မေးခွန်းများ ရှိပါသလား။,هل لديك أسئلة؟,您有什么需要解答的问题吗？
socks,n_socks,Wear non-slip socks,Please have your child wear non-slip socks or shoes when walking,Por favor haga que su hijo/a use calcetines antideslizantes o zapatos al caminar,Por favor faça seu filho usar meias antiderrapantes ou sapatos ao caminhar,Hãy cho con quý vị mang vớ hoặc giày chống trượt khi đi bộ.,Veuillez faire porter des chaussettes ou des chaussures antidérapantes à votre enfant lorsqu'il ou elle marche.,아이가 산책할 시 미끄럼 방지 양말이나 신발을 신게 하십시오.,እባክዎ ልጅዎን በእግር ሲያስኬዱ የማያንሸራትቱ ካልሲዎችን ወይም ጫማዎችን ያድርጉለት/ላት።,သင့်ကလေးကို လမ်းလျှောက်သည့်အခါ ခြေမချော်သော ခြေအိတ် သို့မဟုတ် ဖိနပ်များ ဝတ်ဆင်ခိုင်းပါ။,يُرجى أن يرتدي طفلك جوارب مقاومة للانزلاق أو أحذية عند المشي.,请让您的孩子在走路时穿防滑袜或防滑鞋。
starting_feeding,n_starting_feeding,Starting feeding,I am starting feeding.,Voy a dar de comer,Estou começando a alimentação,Tôi đang bắt đầu cho ăn.,Je commence à donner de la nourriture.,주입을 시작하겠습니다.,መመገብ እየጀመርኩ ነው።,အစာ စကျွေးနေပါပြီ။,أنا أبدأ التغذية.,我要开始喂食了。
suction,n_suction,Placing a suction tube,I am placing a suction tube.,Voy a poner un tubo de succión,Estou colocando um tubo de sucção,Tôi đang đặt ống hút.,Je place le tube d’aspiration.,흡입관을 넣겠습니다.,የመምጠጫ ቱቦ እያስቀመጥኩ ነው።,လေစုပ်ပိုက်တစ်ခု တပ်နေပါတယ်။,أنا أُدخِل أنبوب شفط.,我正在放置导流管。
take_out_to_the_car_in_wheelchair,n_wheelchair_to_car,Wheelchair to car,Somebody will take you out to your car on a wheelchair,Alguien le llevará a su coche en silla de ruedas,Alguém vai levá-lo ao seu carro em uma cadeira de rodas,Sẽ có người đưa bạn ra xe bằng xe lăn,Quelqu'un vous emmènera à votre voiture en fauteuil roulant,직원이 휠체어에 태워 자동차까지 데려다 드릴 것입니다.,አንድ ሰው በተሽከርካሪ ወንበር ወደ መኪናዎ ይወስድዎታል።,တစ်စုံတစ်ယောက်က သင့်ကားဆီသို့ ဘီးတပ်ကုလားထိုင်နဲ့ ခေါ်သွားလိမ့်မယ်။,سوف يصحبك شخص ما إلى سيارتك على كرسي متحرك.,会有人用轮椅带您去您的车上。
taking_IV_out,n_taking_IV_out,Taking IV out,I am taking out the IV.,Voy a quitar la vía intravenosa,Estou removendo a via intravenosa,Tôi đang lấy dây IV ra.,J’enlève la perfusion.,정맥주사(IV)를 제거하겠습니다.,IVውን እያወጣሁ ነው።,သွေးကြောထဲမှ ဆေးထိုးအပ်ကို ထုတ်နေပါပြီ။,أنا أسحب القسطرة الوريدية.,我正在取出静脉注射管。
time_for_a_shower,n_time_for_a_shower,Time for a shower,It is time for a shower.,Es hora de ducharse,É hora de tomar um banho,Đã đến lúc đi tắm.,Il est l’heure de prendre une douche.,샤워를 하실 시간입니다.,ገላ የመታጠብ ጊዜ ነው።,ရေချိုးချိန် ရောက်ပါပြီ။,حان وقت الاستحمام.,现在是时候洗澡了。
turning_patient_over,n_turning_patient_over,Turn patient over,I am turning the patient over.,Voy a dar la vuelta al paciente,Estou virando o paciente,Tôi đang lật người bệnh nhân lại.,Je retourne le patient.,환자의 몸을 뒤집겠습니다.,ታካሚውን እያዞርኩት ነው።,လူနာကို တစ်ဘက်သို့ လှည့်ပေးနေပါတယ်။,أنا أقلب المريض.,我正在给患者翻身。
ultrasound,n_ultrasound,Echo cardiogram,We are going to do an echocardiogram which is an ultrasound of your heart,Vamos a realizar un ecocardiograma; que es una imagen de ultrasonidos de su corazón,Vamos realizar um ecocardiograma; que é uma imagem de ultrassom do seu coração,Chúng tôi sẽ làm siêu âm tim cho quý vị.,Nous allons faire un échocardiogramme; c'est-à-dire un examen par ultrasons de votre cœur.,심장을 초음파로 검사하는 심장초음파검사를 하겠습니다.,የልብዎ አልትራሳውንድ የሆነውን ኢኮካርዲዮግራም እንሰራለን።,သင့်နှလုံးအတွက် အာထရာဆောင်းဓါတ်မှန်တစ်ခုဖြစ်သည့် echocardiogram ကို ပြုလုပ်မည်ဖြစ်သည်။,سنُجري تخطيط صدى القلب؛ وهو عبارة عن فحص بالموجات فوق الصوتية لقلبك.,我们将进行超声心动图检查，这是一种对您心脏的超声检查。
water,n_water,Would you like water?,Would you like water?,¿Quiere agua?,Você gostaria de água?,Quý vị có muốn uống nước không?,Voulez-vous de l’eau?,물을 마시겠습니까?,ውሃ ይፈልጋሉ?,ရေသောက်ချင်ပါသလား။,هل تريد شُرب الماء؟,您想喝点水吗？
