you_can_only_have_ice_chips,You can only have ice chips right now.,Por ahora solo puede comer hielo picado.,Só pode ingerir pedacinhos de gelo no momento.,Quý vị chỉ được dùng đá bào lúc này.,On ne peut vous donner que des petits morceaux de glaçons pour le moment.,지금은 아이스칩만 드실 수 있습니다.,,,,
you_cant_eat_right_now,You can't eat right now.,De momento no puede comer.,Não pode comer agora.,Quý vị không được ăn gì lúc này. ,Vous ne pouvez pas manger pour le moment.,지금은 드실 수 없습니다.,,,,
you_need_to_stay_here_to_get_better,You need to stay here to get better.,Tiene que quedarse aquí para mejorarse.,Precisa ficar aqui para melhorar.,Quý vị cần phải ở lại đây để được khỏe hơn.,Vous avez besoin de rester ici pour aller mieux.,호전되시려면 여기에 머무셔야 합니다.,,,,
ill_get_something_for_you,I'll get something for you.,Le voy a traer algo.,Vou pegar alguma coisa para você.,Tôi sẽ lấy thứ gì đó cho quý vị. ,Je vais vous chercher quelque chose.,뭘 좀 가져다 드리겠습니다.,,,,
ill_get_that_for_you,I'll get that for you.,Yo le traigo eso.,Vou buscar para você.,Tôi sẽ lấy cái đó cho quý vị.,Je vais aller chercher ça pour vous.,제가 가져다 드리겠습니다.,,,,
does_this_hurt,Does this hurt?,¿Esto le duele?,Está doendo?,Làm như thế này có đau không? ,Est-ce que ça fait mal ?,이렇게 하면 아프십니까?,,,,
do_you_want_medicine,Do you want medicine?,¿Quieres medicina?,Quer tomar remédio?,Quý vị có muốn dùng thuốc không? ,Voulez-vous des médicaments ?,약을 원하십니까?,,,,
im_getting_help,I'm getting help.,He pedido ayuda.,Vou pedir ajuda.,Tôi sẽ nhờ người giúp. ,Je vais demander de l’aide.,도움을 요청하겠습니다.,,,,
im_working_to_help,I'm working to help.,Estoy intentando conseguir ayuda.,Estou tentando ajudar.,Tôi đang cố gắng giúp. ,Je suis ici pour vous aider.,도와드리고 있습니다.,,,,
let_me_call_an_interpreter,Let me call an interpreter.,Déjeme llamar a un intérprete.,Vou chamar um intérprete.,Để tôi gọi thông dịch viên. ,Permettez-moi d’appeler un interprète.,통역사를 부르겠습니다.,,,,
doctor_is_here_today,Doctor is here today.,El doctor está aquí hoy.,O médico está aqui hoje.,Hôm nay bác sĩ có ở đây. ,Le docteur est ici aujourd’hui.,오늘은 의사가 계십니다.,,,,
im_calling_the_doctor_for_you,I'm calling the doctor for you.,Estoy llamando al doctor por usted.,Vou chamar o médico para você.,Tôi đang gọi bác sĩ cho quý vị.,J’appelle le docteur pour vous.,의사를 부르겠습니다.,,,,
waiting_for_doctor,Waiting for doctor.,Estoy esperando al doctor.,Vamos aguardar o médico.,Đang chờ bác sĩ.,Nous attendons le docteur.,의사를 기다리고 있습니다.,,,,
im_not_sure_ill_find_out,I'm not sure; I'll find out.,No lo sé; voy a averiguarlo.,Não sei; mas vou perguntar.,Tôi không chắc lắm tôi sẽ tìm hiểu.,Je ne suis pas sûr(e); je vais trouver.,잘 모르겠습니다. 알아보겠습니다.,,,,
im_touching_to_check_on_you,I’m touching to check on you.,Voy a tocarle para ver si todo está bien.,Vou tocar para ver como você está.,Tôi đang chạm vào để kiểm tra quý vị.,Je vous touche pour vérifier comment vous allez.,확인하기 위해 만져보겠습니다.,,,,
someone_else_is_coming_in_to_help,Someone else is coming in to help.,Alguien más va a venir a ayudar.,Outra pessoa está chegando para ajudar.,Có người đang tới để giúp. ,Quelqu’un va venir pour aider.,다른 사람이 와서 도와드릴겁니다.,,,,
my_number_is_on_the_board,My number is on the board.,Mi número está en la pizarra.,Meu número está no quadro.,Số của tôi ở trên bảng.,Mon numéro est sur la tablette.,제 번호는 게시판에 있습니다.,,,,
dont_hesitate_to_call_on_me,Don't hesitate to call on me.,No dude en llamarme.,Pode me chamar.,Đừng ngần ngại gọi cho tôi.,N’hésitez pas à m’appeler.,주저하지 마시고 저를 부르십시오.,,,,
do_you_need_anything_from_me,Do you need anything from me?,¿Necesita algo más?,Precisa de alguma coisa?,Quý vị có cần tôi việc gì không? ,Avez-vous besoin d’autre chose de ma part ?,제가 더 도와드릴 게 있습니까?,,,,
can_i_get_you_anything_water,Can I get you anything? water?,¿Puedo traerle algo? ¿Agua quizás?,Posso buscar alguma coisa? Água?,Quý vị có muốn tôi lấy cho quý vị cái gì không? như nước chẳng hạn?,Est-ce que je peux vous donner quelque-chose? de l’eau?,물이나 뭐를 좀 갖다 드릴까요?,,,,
ill_be_right_back,I'll be right back.,Ahora vuelvo.,Já volto.,Tôi sẽ trở lại ngay. ,Je reviens rapidement.,곧 돌아오겠습니다.,,,,
im_leaving_now,I'm leaving now.,Me voy ahora.,Estou indo embora.,Tôi đi đây. ,Je pars maintenant.,저는 그럼 이만 가보겠습니다.,,,,
_30_mins,30 mins.,30 minutos.,Trinta minutos.,30 phút.,30 min.,30분.,,,,
_1_hour,1 hour.,1 hora.,Uma hora.,1 tiếng đồng hồ.,1 heure.,1시간.,,,,
_2_hours,2 hours.,2 horas.,Duas horas.,2 tiếng đồng hồ.,2 heures.,2시간.,,,,
_4_hours,4 hours.,4 horas.,Quatro horas.,4 tiếng đồng hồ.,4 heures.,4시간.,,,,
_8_hours,8 hours.,8 horas.,Oito horas.,8 tiếng đồng hồ.,8 heures.,8시간.,,,,
after_breakfast,After breakfast.,Después del desayuno.,Depois do café da manhã.,Sau bữa sáng. ,Après le petit-déjeuner.,아침 식사 후에.,,,,
after_lunch,After lunch.,Después del almuerzo.,Depois do almoço.,Sau bữa trưa. ,Après le repas de midi.,점심 식사 후에.,,,,
after_dinner,After dinner.,Después de la cena.,Depois do jantar.,Sau bữa tối. ,Après le repas du soir.,저녁 식사 후에.,,,,
after_surgery,After surgery.,Después de cirugía.,Depois da cirurgia.,Sau phẫu thuật. ,Après la chirurgie.,수술 후에.,,,,
after_the_test,After the test.,Después del test.,Depois do exame.,Sau xét nghiệm. ,Après le test.,검사 후에.,,,,
occupational_therapy,I am from occupational therapy.,Soy de terapia ocupacional.,Sou da área de terapia ocupacional.,Tôi đến từ ban trị liệu chức năng hoạt động. ,Je viens du service d'ergothérapie.,저는 작업 치료 소속입니다.,,,,
physical_therapy,I am from physical therapy.,Soy de fisioterapia.,Sou da área de fisioterapia.,Tôi đến từ ban vật lý trị liệu.,Je viens du service de kinésithérapie.,저는 물리 치료 소속입니다.,,,,
speech_therapy,I am from speech therapy.,Soy de terapia del habla.,Sou da área de fonoaudiologia.,Tôi đến từ ban trị liệu âm ngữ. ,Je viens du service d'orthophonie.,저는 언어 치료 소속입니다.,,,,
waiting_for_an_interpreter,We are waiting for an interpreter.,Estamos esperando a un intérprete.,Estamos esperando um intérprete.,Chúng tôi đang chờ thông dịch viên. ,Nous attendons l’interprète.,통역사를 기다리고 있습니다.,,,,
good_time_for_therapy,Would now be a good time for therapy?,¿Sería ahora un buen momento para la terapia?,Agora é um bom momento para fazer a terapia?,Bây giờ có phải là thời điểm thích hợp để trị liệu không?,Est-ce un bon moment pour faire la thérapie ?,지금 치료를 해도 되겠습니까?,,,,
therapy_in_the_morning,Would you prefer to have therapy in the morning?,¿Prefiere tener terapia por la mañana?,Prefere fazer terapia pela manhã?,Quý vị có muốn trị liệu vào buổi sáng không?,Préféreriez-vous faire la thérapie le matin ? ,아침에 치료받기를 원하십니까?,,,,
therapy_in_the_afternoon,Would you prefer to have therapy in the afternoon?,¿Prefiere tener terapia por la tarde?,Prefere fazer terapia à tarde?,Quý vị có muốn trị liệu vào buổi chiều không?,Préféreriez-vous faire la thérapie l’après-midi ? ,오후에 치료받기를 원하십니까?,,,,
observe_child_eating,I would like to see how your child eats.,Me gustaría ver cómo su hijo/a come.,Gostaria de ver como a criança se alimenta.,Tôi muốn xem con quý vị ăn như thế nào.,J'aimerais voir comment votre enfant mange.,아이가 어떻게 먹는지 보고 싶습니다.,,,,
observe_child_meal_time,I would like to see your child during a meal time today.,Me gustaría ver a su hijo/a durante la comida de hoy.,Gostaria de ver a criança durante a refeição de hoje.,Tôi muốn gặp con quý vị trong giờ ăn hôm nay.,J'aimerais voir votre enfant à l'heure du repas aujourd'hui. ,오늘 식사 시간에 아이를 보고 싶습니다.,,,,
thank_you,Thank you.,Gracias.,Agradeço.,Cám ơn quý vị. ,Merci.,감사합니다.,,,,
hold_your_child,Would you like to hold your child?,¿Le gustaría sostener a su hijo/a?,Quer segurar a criança?,Quý vị có muốn bồng con mình không?,Voulez-vous tenir votre enfant ?,아이를 안고 싶으세요?,,,,
dont_get_child_out_of_bed,Please don't get your child out of bed without help.,Por favor no saque a su hijo/a de la cama sin ayuda.,Não retire a criança da cama se não tiver ajuda.,Vui lòng đừng đưa con quý vị ra khỏi giường mà không có sự giúp đỡ.,Ne sortez pas votre enfant du lit sans aide. ,도움 없이는 아이를 침대에서 꺼내지 마세요.,,,,
help_get_child_out_of_bed,I will help get your child out of bed.,Voy a ayudarle a sacar a su hijo/a de la cama.,Vou ajudar a retirar a criança da cama.,Tôi sẽ giúp đưa con quý vị ra khỏi giường.,Je vais aider à sortir votre enfant du lit.,제가 아이가 침대 밖으로 나오게 돕겠습니다,,,,
need_to_rest,Do you need to rest?,¿Necesita descansar?,Precisa descansar?,Quý vị có cần nghỉ ngơi không?,Voulez-vous vous reposer ?,휴식이 필요하십니까?,,,,
need_the_nurse,Do you need the nurse?,¿Necesita a la enfermera?,Precisa da enfermagem?,Quý vị có cần y tá không?,Avez-vous besoin de l'infirmier ou infirmière ?,간호사가 필요하십니까?,,,,
need_help,Do you need help?,¿Necesita ayuda?,Precisa de ajuda?,Quý vị có cần giúp đỡ không? ,Avez-vous besoin d’aide ?,도움이 필요하십니까?,,,,
you_can_go_back_to_the_room,You can go back to the room.,Puede volver a la habitación anterior.,Pode voltar para o quarto.,Quý vị có thể trở lại phòng.,Vous pouvez retourner dans votre chambre.,병실로 돌아가셔도 됩니다.,,,,
your_childs_name_will_be_on_the_door,Your child's name will be on the door.,El nombre de su hijo o hija estará la puerta.,O nome da criança vai estar na porta.,Tên của con quý vị sẽ ở trên cửa.,Le nom de votre enfant sera sur la porte.,아이의 이름이 문에 적혀 있습니다.,,,,
please_take_off_your_shoes_and_stand_on_the_scale,Please take off your shoes and stand on the scale.,Por favor quítese los zapatos y póngase en la escala.,Tire os sapatos e fique de pé na balança.,Vui lòng cởi giày và đứng lên chiếc cân.,Veuillez enlever vos chaussures et monter sur la balance. ,신발을 벗고 저울 위에 서십시오.,,,,
i_am_going_to_put_stickers_on_your_chest,I am going to put stickers on your chest.,Voy a ponerle pegatinas en el pecho.,Vou colocar adesivos no seu peito.,Tôi sẽ dán các miếng dán lên ngực quý vị.,Je vais mettre des autocollants sur votre poitrine.,가슴에 스티커를 붙이겠습니다.,,,,
i_am_going_to_put_a_heart_monitor,I am going to put a heart monitor.,Voy a ponerle un medidor del corazón.,Vou colocar um monitor cardíaco.,Tôi sẽ đặt máy đo nhịp tim.,Je vais mettre en place un moniteur cardiaque.,심장 모니터를 놓겠습니다.,,,,
please_take_off_your_shirt,Please take off your shirt.,Por favor quítese la camisa.,Tire sua camisa.,Vui lòng cởi áo ra.,S'il vous plaît enlevez votre chemise.,셔츠를 벗으십시오.,,,,
these_wires_are_going_to_hold_the_stickers,These wires are going to hold the stickers.,Estos cables van a sostener las pegatinas.,Os fios vão segurar os adesivos.,Những sợi dây này sẽ giữ các miếng dán.,Ces fils vont retenir les autocollants.,이 와이어가 스티커를 고정합니다.,,,,
nothing_will_hurt_today,Nothing will hurt today.,Nada dolerá hoy.,Não vai doer nada.,Sẽ không có gì gây đau cả. ,Rien ne fera mal aujourd’hui.,"오늘, 아프지 않을 것입니다.",,,,
we_wont_do_shots_or_blood_work,We won't do shots or blood work.,No haremos inyecciones ni sacaremos sangre.,Não vamos dar vacina e nem fazer exame de sangue.,Chúng tôi sẽ không chích hoặc làm xét nghiệm máu.,Nous ne ferons pas de piqûres ni d’analyses de sang.,주사를 놓거나 혈액 체취는 하지 않을겁니다.,,,,
this_doesnt_hurt_but_may_feel_cold,This doesn't hurt but may feel cold.,Esto no duele pero puede sentir frío.,Não dói mas pode ser geladinho.,Làm thế này không đau nhưng có thể cảm thấy lạnh.,Cela ne fait pas mal mais peut être froid.,이것은 아프지는 않지만 차갑게 느껴질 수 있습니다.,,,,
please_lay_on_your_left_side,Please lay on your left side.,Por favor acuéstese sobre su lado izquierdo.,Deite-se virando para o lado esquerdo.,Vui lòng nằm nghiêng về bên trái.,Veuillez-vous allonger sur le côté gauche.,왼쪽으로 누우십시오.,,,,
please_fold_your_left_arm_so_your_head_lays_on_it,Please fold your left arm so your head lays on it.,Por favor doble su brazo izquierdo para reposar su cabeza.,Dobre o braço esquerdo deixando a cabeça sobre o braço.,Vui lòng gập cánh tay trái của quý vị để đầu quý vị tựa vào đó.,Veuillez plier votre bras gauche pour que votre tête repose dessus.,왼쪽 팔을 접고 그 위에 머리를 놓으십시오.,,,,
i_am_going_to_put_3_stickers_on_your_chest,I am going to put 3 stickers on your chest.,Voy a poner 3 pegatinas en su pecho.,Vou colocar três adesivos no seu peito.,Tôi sẽ dán 3 miếng dán lên ngực quý vị.,Je vais mettre 3 autocollants sur la poitrine.,가슴에 스티커 3개를 붙이겠습니다.,,,,
i_am_going_to_connect_wires_to_the_stickers,I am going to connect wires to the stickers.,Voy a conectar cables a las pegatinas.,Vou conectar os fios aos adesivos.,Tôi sẽ kết nối dây với miếng dán.,Je vais connecter des fils aux autocollants.,스티커에 와이어를 연결하겠습니다.,,,,
please_lay_down_on_the_table,Please lay down on the table.,Por favor túmbese en la mesa.,Deite-se na maca.,Vui lòng nằm xuống bàn.,Veuillez-vous allonger sur la table.,테이블 위에 누우십시오.,,,,
medicine_will_make_you_sleep,This medicine will make you sleep.,Este medicamento le hará dormirse.,O medicamento vai fazer você dormir.,Thuốc này sẽ làm quý vị buồn ngủ.,Ce médicament vous fera dormir.,이 약은 잠들게 해줍니다.,,,,
stay_in_bed,Stay in the bed.,Por favor quédese en cama.,Fique na cama.,Hãy tiếp tục ở trên giường.,Restez dans le lit.,침대에 있으십시오.,,,,
giving_tylenol,I’m giving Tylenol.,Voy a darle paracetamol.,Estou dando Tylenol.,Tôi đang cho dùng thuốc Tylenol.,Je donne du Tylenol.,타이레놀을 드리겠습니다.,,,,
giving_ubiprofen,I’m giving ibuprofen.,Voy a darle ibuprofeno.,Estou dando ibuprofeno.,Tôi đang cho dùng thuốc ibuprofen.,Je donne de l'ibuprofène.,이부로펜을 드리겠습니다.,,,,
do_you_need_an_interpreter,Do you need an interpreter?,¿Necesita un intérprete?,Precisa de intérprete?,Quý vị có cần thông dịch viên không? ,Avez-vous besoin d’un interprète ?,통역사가 필요하십니까?,,,,
has_the_doctor_called_you_today_with_an_update_on_your_baby,Has the doctor called you today with an update on your baby?,¿Ha llamado el médico hoy con alguna novedad sobre su bebé?,O médico ligou hoje para saber como está o bebê?,Hôm nay bác sĩ có gọi cho quý vị để thông báo tin tức về con quý vị không?,Le docteur vous a-t-il appelé(e) aujourd'hui pour vous donner des nouvelles de votre bébé ?,오늘 의사가 아기에 관한 소식을 알려줬습니까?,,,,
do_you_have_any_questions,Do you have any questions?,¿Tiene alguna pregunta?,Alguma pergunta?,Quý vị có điều gì thắc mắc không?,Avez-vous des questions ?,질문이 있으십니까?,,,,
do_you_want_to_speak_with_a_lactation_consultant_or_nurse,Do you want to speak with a lactation consultant (or nurse)?,¿Quiere hablar con una consultora de lactancia (o enfermera)?,Quer falar com a consultoria de lactação (ou a enfermagem)?,Quý vị có muốn nói chuyện với chuyên viên tư vấn (hoặc y tá) về nuôi con bằng sữa mẹ không?,Souhaitez-vous parler avec une consultante en lactation (ou une infirmière) ?,수유 상담사 또는 간호사와 얘기하고 싶으십니까?,,,,
do_you_want_to_help_with_oral_care,Do you want to help with oral care?,¿Quiere ayudar con el cuidado oral?,Quer ajudar com os cuidados bucais?,Quý vị có muốn giúp chăm sóc răng miệng không?,Voulez-vous aider avec les soins bucco-dentaires?,구강 관리를 도와주시겠습니까?,,,,
do_you_want_to_help_change_the_diaper,Do you want to help change the diaper?,¿Quiere ayudar a cambiar el pañal?,Quer ajudar a trocar a fralda?,Quý vị có muốn giúp thay tã không?,Voulez-vous aider à changer la couche ?,기저귀 교체를 도와주시겠습니까?,,,,
do_you_want_to_take_the_babys_temperature,Do you want to take the baby's temperature?,¿Quiere tomar la temperatura del bebé?,Quer tirar a temperatura do bebê?,Quý vị có muốn đo nhiệt độ của em bé không? ,Vous souhaitez prendre la température de bébé ?,아기의 체온 재기를 원하십니까?,,,,
do_you_want_to_hold_your_baby,Do you want to hold your baby?,¿Quiere sostener a su bebé?,Quer segurar o bebê?,Quý vị có muốn bồng em bé không?,Voulez-vous tenir votre bébé ?,아이를 안고 싶으십니까?,,,,
do_you_want_to_hold_your_baby_skin_to_skin,Do you want to hold your baby skin to skin?,¿Quiere sostener a su bebé piel con piel?,Quer segurar o bebê fazendo contato com a pele?,Quý vị có muốn bồng em bé theo kiểu da áp da không?,Voulez-vous faire du peau-à-peau avec votre bébé ?,서로 피부가 닿도록 아이를 안고 싶으십니까?,,,,
do_you_need_more_bottles_for_your_milk_for_home,Do you need more bottles for your milk for home?,¿Necesita más biberones para la leche en casa?,Precisa de mais mamadeiras para o leite em casa?,Quý vị có cần thêm bình sữa để mang về nhà không?,Avez-vous besoin de biberons supplémentaires pour votre lait à la maison ?,집에서 모유를 짤 우유병이 더 필요하십니까?,,,,
provide_urine_sample,Can you provide a urine sample?,¿Puede proporcionar una muestra de orina?,Pode dar uma amostra de urina?,Quý vị có thể cung cấp mẫu nước tiểu không?,Pourriez-vous nous donner un échantillon d’urine ?,소변 샘플을 제공해 주실 수 있습니까?,,,,
seen_surgeon,Have you seen the surgeon?,¿Ha visto al cirujano?,Já falou com o cirurgião?,Quý vị đã gặp bác sĩ giải phẫu chưa?,Avez-vous vu le chirurgien ?,외과 의사를 만나셨습니까?,,,,
seen_anesthiologist,Have you seen the anesthiologist?,¿Ha visto al anestesista?,Já falou com o anestesiologista?,Quý vị đã gặp bác sĩ gây tê/gây mê chưa?,Avez-vous vu l’anesthésiste ?,마취과 의사를 만나셨습니까?,,,,
move_toes,Can you move your toes?,¿Puede mover los dedos de los pies?,Consegue mexer os dedos dos pés?,Quý vị có thể cử động ngón chân của quý vị không? ,Pouvez-vous bouger vos orteils ?,발가락을 움직이실 수 있습니까?,,,,
move_fingers,Can you move your fingers?,¿Puede mover los dedos de las manos?,Consegue mexer os dedos das mãos?,Quý vị có thể cử động ngón tay của quý vị không?,Pouvez-vous bouger vos doigts ?,손가락을 움직이실 수 있습니까?,,,,
put_gown_on,Time to put gown on.,Es hora de ponerse la bata.,Está na hora de colocar a camisola hospitalar.,Đã đến lúc mặc áo choàng vào.,Il est temps d'enfiler la chemise d'hôpital.,가운을 입으십시오.,,,,
write_last_time_ate,Write down last time pt ate.,¿Puede escribir la última vez que el paciente comió?,Anote a última vez que o paciente comeu.,Ghi ra lần cuối bệnh nhân ăn.,Notez la dernière fois que le patient/la patiente a mangé.,환자가 마지막으로 먹은 시간을 적으십시오.,,,,
write_last_time_drank,Write down last time pt drank.,¿Puede escribir la última vez que el paciente bebió?,Anote a última vez que o paciente bebeu.,Ghi ra lần cuối bệnh nhân uống. ,Notez la dernière fois que le patient/la patiente a bu.,환자가 마지막으로 마신 시간을 적으십시오.,,,,
no_more_walking,No more walking after this medication.,No puede caminar más después de esta medicación.,Não pode mais caminhar depois de tomar este remédio.,Không đi lại nữa sau khi dùng thuốc này.,Vous ne devez pas marcher après avoir pris ce médicament.,이 약을 복용한 후에는 걸으면 안 됩니다.,,,,
