Variable Names,image,English Short Name,English,Spanish,Portuguese (Brazilian),Vietnamese,French,Korean,,
last_time_breast_milk,n_last_time_breastmilk,Last time breast milk?,When was the last time the patient had breast milk?,¿Cuándo fue la última vez que el paciente tomó leche del pecho?,Quando foi a última vez que o paciente tomou leite materno?,Lần cuối cùng bệnh nhân uống sữa mẹ là khi nào?,Quand est-ce que le patient a pris du lait maternel pour la dernière fois ?,언제 환자가 마지막으로 모유를 먹었습니까?,,
last_time_clear_liquids,n_last_time_drank,Last time clear liquids?,When was the last time the patient had any clear liquids?,¿Cuándo fue la última vez que el paciente tomó líquidos transparentes?,Quando foi a última vez que o paciente tomou líquidos claros?,Lần cuối cùng bệnh nhân uống chất lỏng trong suốt là khi nào?,Quand est-ce que le patient a pris des liquides clairs pour la dernière fois ?,언제 환자가 마지막으로 투명한 액체를 드셨습니까?,,
last_time_solid_food,n_last_time_ate,Last time solid food?,When was the last time the patient had any solid food?,¿Cuándo fue la última vez que el paciente tomó comida sólida?,Quando foi a última vez que o paciente comeu comida sólida?,Lần cuối cùng bệnh nhân ăn thức ăn rắn là khi nào?,Quand est-ce que le patient a mangé des aliments solides pour la dernière fois ?,언제 환자가 마지막으로 딱딱한 음식이나 우유를 드셨습니까?,,
leg_bp,n_leg_bp,Checking BP on leg,We are going to take a blood pressure on your leg,Vamos a medir la presión sanguínea del paciente en su pierna,Vamos medir a pressão arterial na sua perna,Chúng tôi sẽ đo huyết áp ở chân của quý vị.,Nous allons prendre la tension artérielle sur votre jambe.,다리의 혈압을 재겠습니다.,,
level_of_pain,pain,Level of pain?,Can you indicate your level of pain?,¿Puede indicar su nivel de dolor?,Você pode indicar seu nível de dor?,Quý vị có thể cho biết mức độ đau của mình được không?,Pouvez-vous indiquer votre niveau de douleur?,아픈 수준을 표현하실 수 있습니까?,,
listen_to_vitals,n_listen_to_vitals,Listening to breathing,I am listening to breathing.,Voy a escuchar su respiración,Estou escutando a respiração,Tôi đang lắng nghe hơi thở.,J'écoute la respiration.,아이를 도와 침대 밖으로 나오게 할 때는 이동보조 벨트를 사용하십시오.,,
medicine_will_make_you_sleep,n_medicine_to_sleep,Medicine to sleep,This medicine will make you sleep,Este medicamento le hará dormirse,Este medicamento vai fazer você dormir,Thuốc này sẽ làm bạn buồn ngủ,Ce médicament va vous faire dormir,이 약은 잠들게 해줍니다.,,
mouthcare,n_mouthcare,Mouthcare,I am giving mouthcare.,Voy a tender cuidados de boca,Estou fazendo cuidados bucais,Tôi đang chăm sóc răng miệng.,Je donne des soins de bouche.,구강 관리를 하겠습니다.,,
NG_tube,n_NG_tube,Placing an NG tube,I am placing an NG tube.,Voy a poner una sonda de alimentación nasogástrica,Estou colocando uma sonda nasogástrica,Tôi đang đặt ống NG.,Je place un tube nasogastrique.,비위관(NG tube)을 넣겠습니다.,,
placing_a_foley,n_placing_a_foley,Placing a foley,I am placing a foley.,Voy a poner un catéter urinario,Estou colocando um cateter urinário,Tôi đang đặt ống thông tiểu.,Je place une sonde Foley.,폴리를 넣겠습니다.,,
placing_a_ventilator,n_placing_a_ventilator,Giving oxygen,I am going to give oxygen,Voy a dar oxígeno,Estou fornecendo oxigênio,Tôi sắp sửa cho dùng ô-xy.,Je vais administrer de l’oxygène.,산소를 공급하겠습니다.,,
playroom,n_playroom,Watch play,I would like to see how you/your child moves and plays,Me gustaría ver cómo usted/su hijo/a se mueve y juega,Gostaria de ver como você/seu filho se move e brinca,Tôi muốn xem quý vị/con quý vị di chuyển và chơi như thế nào.,J’aimerais voir comment vous/votre enfant bougez/bouge et jouez/joue.,귀하/귀하의 자녀가 어떻게 이동하고 움직이는지를 살펴보고 싶습니다.,,
question,n_question,Do you have any questions?,Do you have any questions?,¿Tiene alguna pregunta?,Você tem alguma pergunta?,Quý vị có điều gì thắc mắc không?,Avez-vous des questions?,질문이 있으십니까?,,
socks,n_socks,Wear non-slip socks,Please have your child wear non-slip socks or shoes when walking,Por favor haga que su hijo/a use calcetines antideslizantes o zapatos al caminar,Por favor faça seu filho usar meias antiderrapantes ou sapatos ao caminhar,Hãy cho con quý vị mang vớ hoặc giày chống trượt khi đi bộ.,Veuillez faire porter des chaussettes ou des chaussures antidérapantes à votre enfant lorsqu'il ou elle marche.,아이가 산책할 시 미끄럼 방지 양말이나 신발을 신게 하십시오.,,
starting_feeding,n_starting_feeding,Starting feeding,I am starting feeding.,Voy a dar de comer,Estou começando a alimentação,Tôi đang bắt đầu cho ăn.,Je commence à donner de la nourriture.,주입을 시작하겠습니다.,,
suction,n_suction,Placing a suction tube,I am placing a suction tube.,Voy a poner un tubo de succión,Estou colocando um tubo de sucção,Tôi đang đặt ống hút.,Je place le tube d’aspiration.,흡입관을 넣겠습니다.,,
take_out_to_the_car_in_wheelchair,n_wheelchair_to_car,Wheelchair to car,Somebody will take you out to your car on a wheelchair,Alguien le llevará a su coche en silla de ruedas,Alguém vai levá-lo ao seu carro em uma cadeira de rodas,Sẽ có người đưa bạn ra xe bằng xe lăn,Quelqu'un vous emmènera à votre voiture en fauteuil roulant,직원이 휠체어에 태워 자동차까지 데려다 드릴 것입니다.,,
taking_IV_out,n_taking_IV_out,Taking IV out,I am taking out the IV.,Voy a quitar la vía intravenosa,Estou removendo a via intravenosa,Tôi đang lấy dây IV ra.,J’enlève la perfusion.,정맥주사(IV)를 제거하겠습니다.,,
time_for_a_shower,n_time_for_a_shower,Time for a shower,It is time for a shower.,Es hora de ducharse,É hora de tomar um banho,Đã đến lúc đi tắm.,Il est l’heure de prendre une douche.,샤워를 하실 시간입니다.,,
turning_patient_over,n_turning_patient_over,Turn patient over,I am turning the patient over.,Voy a dar la vuelta al paciente,Estou virando o paciente,Tôi đang lật người bệnh nhân lại.,Je retourne le patient.,환자의 몸을 뒤집겠습니다.,,
ultrasound,n_ultrasound,Echo cardiogram,We are going to do an echocardiogram which is an ultrasound of your heart,Vamos a realizar un ecocardiograma; que es una imagen de ultrasonidos de su corazón,Vamos realizar um ecocardiograma; que é uma imagem de ultrassom do seu coração,Chúng tôi sẽ làm siêu âm tim cho quý vị.,Nous allons faire un échocardiogramme; c'est-à-dire un examen par ultrasons de votre cœur.,심장을 초음파로 검사하는 심장초음파검사를 하겠습니다.,,
water,n_water,Would you like water?,Would you like water?,¿Quiere agua?,Você gostaria de água?,Quý vị có muốn uống nước không?,Voulez-vous de l’eau?,물을 마시겠습니까?,,
